Subject,z_latents_batch,ASD,HSD,HSD95,DSC,Err_Vol_CM3,Err_Vol_Percent,fold,source
['fd121_rf'],"Parameter containing: tensor([[ 0.9317,  0.5596, -0.9209,  0.4911,  0.5889,  0.0556,  0.2731, -0.5700, 1.0036,  0.2052,  0.1069, -0.5664,  0.7626,  0.3743, -1.1240,  0.1518, -0.1257,  0.9334,  0.3624,  0.0733,  0.9096, -0.2772, -0.6409, -0.5656, -0.6062,  1.0665, -0.2158, -0.4701,  0.2030, -1.5989,  0.9273,  0.1563, 0.2101, -0.1749, -0.5106,  0.5264,  0.0174,  0.0919, -0.0986,  0.6463, -0.4191,  1.0118, -0.8926,  0.0142, -0.5428, -0.5746,  0.4794, -0.3247, -0.9449, -0.4193,  0.2279, -0.7860, -0.1652,  0.1129, -0.2214, -0.1827, 1.2148,  0.5848,  0.0838,  0.2778, -0.5254, -0.3657,  0.0537,  0.1489, -1.4724, -0.8431,  1.1692, -0.1229, -0.0895,  0.4377,  0.8329, -0.2121, -1.1933,  0.0069,  0.5916, -0.7090, -0.2764,  0.6952, -0.1626, -0.1258, 0.6053,  0.3167, -1.5524, -0.6521, -0.0158, -0.8371, -0.3460,  0.4487, 0.3140, -0.3895,  0.1552,  0.7407, -0.3956, -0.6125,  0.0915, -1.2770, 0.6189, -0.6550,  0.4239,  0.4593, -0.1456,  0.7059, -1.3056,  1.0943, -0.9765, -0.2917, -0.3801, -0.3971, -0.1889, -0.6457,  0.1508, -1.1049, 1.0824,  0.2050, -1.5443,  0.0373, -0.4084, -0.9352,  0.3122, -0.3312, -0.2254, -0.5337,  0.2842,  0.3134,  0.3281, -0.9017,  0.7673, -0.8243]], device='cuda:0', requires_grad=True) tensor([ 65,  66, 228]) tensor([ 65,  66, 228]) Batch prediction time: 165.1s labels_pred_cpu SHAPE (1, 1, 65, 66, 228) labels_gt_cpu SHAPE (1, 1, 65, 66, 228)",0.3026,8.8345,1.7002,0.9523,0.2506,0.2392,1,Fold_1_Test_Set_healthy
['gd123_rf'],"Parameter containing: tensor([[-0.9311,  0.2751, -0.5044,  0.2309, -0.2644, -0.4594,  0.3000,  0.5237, 0.6553, -0.4472,  0.7115, -1.0357, -0.4868,  0.7888, -1.7952,  0.5907, -0.4601,  1.5407, -0.6628, -0.0931,  0.2518,  0.0467,  0.2592, -0.2723, 0.2604, -1.1059,  0.6007, -0.1322,  0.6457, -0.4889,  0.2698, -1.0724, 0.1261, -0.8552,  0.0414, -0.4870, -0.0334, -0.5242,  0.2837,  0.3271, -0.0301,  0.5671, -0.0056, -0.1820, -0.0675, -0.3166,  0.4291, -0.1427, -0.4944,  0.8808,  0.3171, -0.2434, -0.6614, -0.7227,  0.0890,  0.3282, -0.8777, -0.2307,  0.4030,  1.6569,  0.2208,  0.5063, -0.3786,  0.6321, -0.3356, -0.8502,  0.3884, -0.5016, -0.0462, -0.3823,  1.5847, -0.0233, 0.7006, -0.0043,  0.2896,  0.4100, -1.0749, -0.7296, -0.3155, -0.4999, -0.3524, -0.7006, -1.1675, -0.1885,  0.0782, -0.1182, -0.1390, -0.2432, 0.0444, -0.3787, -0.4436, -0.1579, -0.4349, -0.6884,  0.3142, -0.3326, 0.4386,  0.1234, -0.0282, -0.4299,  1.6459,  0.4444, -0.3936,  0.2849, -0.1951, -0.7286, -0.3758, -0.4214, -0.6323, -0.4528,  0.0385, -0.8645, -1.1064,  0.2073,  0.2411, -0.1828,  0.3654,  0.6300,  1.0687, -0.5243, 0.5513,  0.2836,  0.1188, -0.1350, -0.3142, -0.3795,  0.0370, -0.2113]], device='cuda:0', requires_grad=True) tensor([ 64,  65, 219]) tensor([ 64,  65, 219]) Batch prediction time: 153.8s labels_pred_cpu SHAPE (1, 1, 64, 65, 219) labels_gt_cpu SHAPE (1, 1, 64, 65, 219)",0.2603,4.7988,1.5996,0.9493,0.1883,0.2465,1,Fold_1_Test_Set_healthy
['ij157_rf'],"Parameter containing: tensor([[ 0.5412,  0.1482, -0.1365,  0.6517, -0.6605, -1.1165,  1.1246,  0.2800, -0.2696,  0.2314,  0.9817, -0.3903,  0.6022, -0.1455, -0.0717,  0.8926, 0.4640,  0.7767, -0.4252,  0.4791, -0.1568, -0.2470,  0.4489,  0.0780, -0.4866,  0.0886, -0.8552,  1.9903,  1.7502,  0.0679, -0.1126,  0.2902, -0.8623, -1.2780,  0.8795,  0.1887, -0.9894, -0.2782, -0.6034,  0.6563, -1.4196,  1.1297, -0.5634, -0.4422, -0.7655, -0.0101,  1.4202, -0.9709, -0.3537, -0.6167, -0.4805, -0.1707,  0.5828, -0.2032, -1.2419,  0.1354, -1.3301,  1.1637, -1.1627, -0.3085,  0.9445,  0.2115, -0.4646,  0.2192, -2.1529, -0.6931, -0.3116,  0.0049,  0.8762,  1.2745,  1.6436, -1.1836, -0.7946,  0.1665, -0.9970, -0.0693, -1.4815,  1.0796, -0.4935, -0.9072, 0.1069,  0.6087, -1.7267, -0.2298, -0.3330, -0.1306,  0.2410,  0.0385, 1.3051,  0.0400, -1.0091, -0.2983, -1.7484, -1.2704,  1.3011,  0.3119, 1.0165, -0.1387, -0.4604,  1.1066,  0.8921,  0.1356,  1.7805, -0.9371, -0.7158,  0.4313, -0.8007, -0.4163,  0.6819, -0.7013, -0.3529, -0.5858, 0.7440,  0.0123, -0.9976,  0.4949, -0.7219,  0.6683,  0.9224, -0.6349, -0.8328,  0.0231,  0.1452, -1.3071,  0.8988,  0.0562, -0.0306, -0.1478]], device='cuda:0', requires_grad=True) tensor([ 73,  75, 183]) tensor([ 73,  75, 183]) Batch prediction time: 168.5s labels_pred_cpu SHAPE (1, 1, 73, 75, 183) labels_gt_cpu SHAPE (1, 1, 73, 75, 183)",0.4125,6.3029,1.9004,0.9256,0.604,0.7205,1,Fold_1_Test_Set_healthy
['le120_rf'],"Parameter containing: tensor([[-0.4914, -0.1469,  0.7547, -1.5753,  0.7896,  2.3131,  0.3193,  0.0362, 0.9820, -1.1217, -0.5945,  0.5000, -0.7495,  0.0828,  0.0781,  0.6686, 1.8210, -0.6335, -0.0231,  0.0185,  0.7468,  0.0106, -1.6846,  0.0094, -1.0812, -0.4613, -2.2689,  0.9851,  0.4032, -0.1831, -0.2544, -0.4571, 0.6283,  0.9176,  0.4212,  1.1546, -1.2095, -0.0813,  0.1807,  1.4646, 0.6432,  0.6819,  1.1112, -0.8327, -0.3859, -1.3650,  1.3103, -1.3948, -0.0830,  0.3590, -0.0670, -1.9020, -0.3099, -0.7014,  0.0934,  0.4718, 1.0047, -0.3205, -1.2732,  0.6229, -0.9757,  0.4111, -0.2624,  0.4152, 0.0160, -0.2206, -0.6680, -1.6195, -0.3303, -1.6051,  2.0899, -1.2920, -1.0912,  0.4617, -0.0636,  0.4959, -0.0367, -1.0072, -0.9289, -1.2558, -1.5317,  0.3904,  1.7310,  0.2450,  0.5195, -0.6800,  0.0482, -0.1670, 1.4509, -1.0285, -0.0532,  0.8542, -0.6563, -0.6718,  1.2677,  0.1242, 1.0754, -0.1200,  0.6398, -0.4134,  0.2804,  0.2002, -0.6144,  0.6342, 0.3195, -0.1632,  0.3130, -0.4827, -1.2517, -1.5654,  0.6242,  1.0245, 0.9362,  1.2304,  1.6487, -0.9211, -1.9270,  0.9459,  0.2365, -0.5210, 0.3103, -1.3885,  0.5438, -0.1538,  0.4989,  0.1274, -0.6393,  0.0831]], device='cuda:0', requires_grad=True) tensor([ 74,  59, 217]) tensor([ 74,  59, 217]) Batch prediction time: 159.9s labels_pred_cpu SHAPE (1, 1, 74, 59, 217) labels_gt_cpu SHAPE (1, 1, 74, 59, 217)",0.4969,8.6693,1.7002,0.9284,0.3047,0.2148,1,Fold_1_Test_Set_healthy
['pj165_rf'],"Parameter containing: tensor([[ 1.1387, -0.3197,  0.1330,  0.0666, -0.0215, -0.9498,  0.8815, -0.2317, 0.0676, -0.7227, -0.3844,  0.0400,  1.3801,  0.0392, -0.1677,  0.3292, 0.1923, -0.7282, -0.2836, -0.5827, -0.7893,  0.4673, -0.2540,  0.0943, 0.4257,  0.1824,  1.6544, -0.3317,  0.8521,  0.0673,  1.3703,  0.6805, 0.1943,  1.2164,  0.3283,  0.2811, -0.8152,  0.7953,  0.4997,  1.2455, 1.5162,  0.8775, -0.0697, -0.7303,  1.8197, -0.2911,  0.0890, -1.8055, -1.2669,  1.9087, -0.5051, -0.9389, -0.5088,  0.4522,  0.5889, -0.5308, -1.3088,  0.0431, -1.9326, -1.8038,  0.8798,  1.1083, -1.1654, -0.4120, 0.1555, -1.5992, -0.0051, -0.4837, -0.3703, -1.2300,  0.6370, -0.6793, 0.9405,  1.1268, -0.3609,  0.6959, -0.8779, -0.0091, -0.7869,  0.3450, -0.0346, -1.2722, -0.9101, -0.1252, -2.1829, -0.7637, -0.3530, -0.6430, -0.2630,  0.5192, -0.8044,  0.3602, -1.1061,  1.4599,  0.7524,  0.1612, 1.3906, -0.7320,  1.2388,  0.3159, -0.3924, -0.3773,  0.0789, -0.6894, -0.1500, -0.4855,  0.2178, -0.2531, -0.3690,  1.5163,  0.1046, -0.0788, -0.3112, -0.6357,  0.2371, -0.2120, -0.0667, -1.0080, -0.2050, -0.4443, 0.7796,  0.4238,  0.6327,  1.3947,  0.3097,  1.7295,  0.9144,  1.1863]], device='cuda:0', requires_grad=True) tensor([ 70,  69, 213]) tensor([ 70,  69, 213]) Batch prediction time: 173.1s labels_pred_cpu SHAPE (1, 1, 70, 69, 213) labels_gt_cpu SHAPE (1, 1, 70, 69, 213)",0.3596,5.8896,1.7002,0.9311,0.1769,0.2471,1,Fold_1_Test_Set_healthy
['ra126_rf'],"Parameter containing: tensor([[-1.6497,  0.6631, -0.8254, -0.0414,  0.4036,  2.5557, -0.3041, -0.6272, -0.6179, -0.4151, -0.5539,  1.0212, -0.2471,  0.0761,  0.5979, -1.2756, 1.1987, -0.5404,  0.3109, -1.8920, -0.0808, -0.5901, -0.3274,  0.3546, -0.1273,  0.0128,  1.3918,  0.5907, -0.1497, -0.2492, -0.2446, -0.6353, 0.5337,  1.2118,  0.8595,  0.3320, -1.1658,  0.5590,  0.3588,  0.6895, -0.3483, -0.9670,  0.7022,  1.6215, -0.9896, -1.2276,  0.4744,  0.0752, 0.1587,  0.8766,  0.5465,  0.4005,  0.2326,  1.1777,  0.4525, -1.1216, -0.4402, -1.0704, -1.5692, -0.1612,  0.2981, -0.3544,  0.3264,  0.5091, 1.3966, -0.2382, -0.9606,  0.6679,  0.9540, -0.5494,  1.4780,  1.7893, 0.2398,  0.6512,  1.9462,  2.0682, -0.8678, -0.4606,  0.0503, -1.3161, -1.6775, -0.7024, -1.4523,  0.7535, -0.0644,  1.5342, -0.8075, -0.2993, -0.4039, -0.6567,  2.2436, -1.3604, -1.1516,  0.3570, -0.1005,  0.8442, 0.0074,  1.3751, -0.0325, -2.7691, -0.7895,  0.1685, -1.1878,  1.1902, -0.1377,  0.4644,  0.8576, -0.1394,  0.0844, -0.0972, -1.2372,  1.3087, 1.4273, -0.3025,  0.7936, -1.6189,  1.9304,  0.2452,  1.0954, -0.5210, 0.3659, -0.3422, -0.3199, -1.1381,  1.2109,  0.8290, -1.2054,  0.2096]], device='cuda:0', requires_grad=True) tensor([106,  54, 178]) tensor([106,  54, 178]) Batch prediction time: 171.3s labels_pred_cpu SHAPE (1, 1, 106, 54, 178) labels_gt_cpu SHAPE (1, 1, 106, 54, 178)",0.5668,16.3478,3.8008,0.9149,1.5099,2.1087,1,Fold_1_Test_Set_healthy
['ry166_rf'],"Parameter containing: tensor([[ 3.4964e+00,  5.6008e-01, -7.5087e-01, -1.7224e+00,  5.1536e-01, 6.3206e-01, -4.6463e-01, -3.7409e-01,  1.4442e+00, -1.4243e+00, -5.9938e-01, -3.5191e-01,  8.5047e-01, -6.9809e-01, -4.9111e-01, 8.1723e-01,  6.1062e-01, -2.0221e+00, -4.0771e-01,  1.3588e+00, -6.9153e-01,  3.7553e-01, -6.2993e-01, -1.0542e+00, -2.5671e-01, 2.6219e+00,  3.4573e-01,  1.4276e+00,  3.8015e-01, -6.4938e-01, -9.4379e-01, -6.9896e-01, -6.2405e-01,  1.1573e+00, -7.9469e-01, 1.7867e+00,  5.8653e-01,  4.6388e-02, -1.2687e+00,  1.1754e-01, 5.6779e-01,  1.0564e+00,  3.0738e-03, -6.8554e-02, -1.2561e+00, 6.8237e-01,  1.0565e+00, -2.0570e-01,  1.0878e+00,  3.0307e-01, 1.6947e+00, -5.4115e-01, -5.7136e-01, -1.0764e+00, -6.3844e-01, -3.9738e-01, -2.6115e-01, -7.7405e-01, -6.8885e-01, -8.2098e-03, 6.3919e-01, -6.2218e-01, -2.0732e+00,  4.7262e-01,  8.7949e-01, -2.1591e+00,  4.3196e-01, -1.0853e+00, -4.8282e-02, -1.0648e-01, 1.9093e+00,  8.9987e-01, -1.1241e+00, -8.8808e-01,  7.3251e-01, -9.5590e-01, -1.9159e-01, -1.4635e+00, -1.0311e+00, -1.3430e+00, 1.1654e-01, -9.2354e-01, -2.5357e+00,  1.1948e+00,  2.0810e-01, -3.7519e-01, -1.1696e+00,  1.8179e-01, -4.3229e-01,  1.8023e+00, -4.0235e-01,  9.6840e-01,  8.5834e-01, -1.0094e+00,  5.2157e-01, 5.4149e-01,  2.8448e-01, -1.6870e-01,  1.4412e+00, -3.6098e-01, -4.5198e-01,  3.1800e-01,  3.0374e-02, -4.3848e-01, -4.0309e-01, -7.5748e-01,  4.2852e-01, -1.4911e+00, -2.9874e-01, -1.6461e+00, 8.0347e-01,  5.9536e-01,  1.2582e-01, -1.4223e-01,  8.3099e-01, 4.3525e-01, -1.2033e+00, -1.1190e+00, -5.8626e-01,  4.3580e-01, 1.2747e-01, -6.0310e-01,  3.5101e-01, -2.6187e+00,  1.2749e+00, 1.2178e+00, -2.3006e+00,  1.5058e+00]], device='cuda:0', requires_grad=True) tensor([ 75,  63, 204]) tensor([ 75,  63, 204]) Batch prediction time: 162.6s labels_pred_cpu SHAPE (1, 1, 75, 63, 204) labels_gt_cpu SHAPE (1, 1, 75, 63, 204)",0.4977,10.8866,2.4044,0.9077,0.9238,0.9941,1,Fold_1_Test_Set_healthy
['sujet12_rf_faible'],"Parameter containing: tensor([[ 0.8185,  0.2069,  0.2727,  0.9146, -0.5398, -0.6538,  0.1423, -0.7176, 1.4154,  1.3849, -0.1837, -0.4695,  0.3420, -0.1387, -1.0534, -0.5182, -0.8711, -0.3178,  0.0687,  0.3565, -0.3640, -0.9459, -1.1081, -1.2729, -0.4442,  0.2043,  0.2642, -0.9596, -0.7456, -0.6881, -0.9227, -1.1821, 0.6876, -0.1181, -0.2924,  0.3611,  0.8495, -1.1206,  0.1173, -0.7077, -0.7307, -0.0185,  0.2048, -0.6092,  1.0972, -0.6179,  0.6184,  0.1139, -0.6869,  1.0014, -0.8336, -0.8168,  0.0114,  0.4474,  0.0474,  0.3468, -0.5440,  0.3132, -0.7682,  1.0001,  1.3204,  0.6740, -0.7510,  1.1856, -0.2000,  0.0197,  0.6018, -1.0763, -0.6654, -1.2402, -0.4100, -1.0428, 0.0165, -0.2965,  0.4612,  1.5607, -0.5020,  1.2209, -0.6173, -0.5457, -0.6495,  0.6280,  1.0118, -0.8168, -0.0678, -0.7421, -0.4776, -0.1687, 0.1268,  1.0108,  0.2094,  0.8023, -0.2212,  0.1041,  0.6748, -0.2748, 0.3046, -0.3523,  0.9983, -0.7066,  2.0076,  0.9279, -0.1325,  0.6121, -0.8109, -0.6406,  0.6384, -0.5143,  1.9923,  0.3788,  0.2825,  2.0190, -1.1036,  0.4532, -0.6297, -0.4931,  1.9566, -0.7647, -0.4536, -0.5393, -0.9192,  0.3967,  0.4809,  0.2379,  0.7894,  0.8666,  0.6509,  0.5037]], device='cuda:0', requires_grad=True) tensor([ 63,  69, 211]) tensor([ 63,  69, 211]) Batch prediction time: 154.5s labels_pred_cpu SHAPE (1, 1, 63, 69, 211) labels_gt_cpu SHAPE (1, 1, 63, 69, 211)",0.499,6.8008,1.7002,0.9403,0.7175,0.414,1,Fold_1_Test_Set_healthy
['sujet12_rf_fort'],"Parameter containing: tensor([[ 8.8081e-01,  1.2743e+00, -1.4494e-01,  2.2571e-01, -1.2317e+00, -3.2945e-01,  5.4677e-01, -9.1454e-01,  1.0021e+00, -2.8712e-01, 2.7960e-02, -6.2245e-01,  4.9759e-01,  4.0856e-01, -7.4412e-01, 8.0598e-01, -8.6830e-01,  6.3677e-01, -3.2007e-01,  6.5092e-01, 4.5985e-01, -9.9601e-01, -2.7822e-01, -7.8706e-01, -2.6275e-01, -6.0913e-01, -1.1358e+00, -3.9396e-01, -3.2335e-01, -7.4183e-01, 2.9471e-03, -1.1365e-01, -9.0022e-01,  6.5794e-01, -2.0082e-01, 9.4396e-01,  1.6353e+00, -3.7522e-01,  9.4341e-03,  4.0384e-01, -3.5021e-01, -6.7906e-03, -1.2665e+00, -6.5724e-01,  2.2150e-01, 8.7062e-01, -6.4564e-03,  1.4376e-01, -6.8191e-01,  7.0371e-01, 1.2052e+00, -2.1734e-01, -2.7774e-01, -8.5175e-01, -6.2095e-01, 6.7762e-01, -2.6331e-01,  2.9875e-01, -6.3377e-01,  1.5496e+00, -2.4454e-01, -2.2734e-01, -7.8552e-01,  1.6163e-01, -1.3243e-01, -2.2637e-01,  2.5513e-01,  7.8071e-01, -3.0078e-01, -3.3295e-01, -9.6390e-02, -2.0957e-01,  1.6806e+00,  2.1117e-01, -6.0770e-01, 3.0980e-01, -8.0304e-01,  9.3297e-02, -7.2385e-01,  6.8248e-01, -3.4074e-01, -1.2560e+00, -1.0047e+00, -1.7100e-01, -1.2903e-01, -8.9760e-01, -1.3778e-01, -2.8817e-01, -1.4636e+00,  8.8326e-01, -1.7226e-01,  9.2346e-01, -3.8410e-01, -1.0641e+00,  1.7085e-01, -2.2189e-01, -5.1455e-02, -4.7332e-01, -1.6735e-01, -5.8868e-02, 2.1286e-01,  8.0121e-02, -3.6414e-01,  2.4990e-01, -1.1735e+00, -5.7003e-01, -1.1468e+00, -2.7854e-01,  1.1891e+00, -1.5012e+00, 9.1987e-03,  7.8049e-01, -3.7239e-01,  5.7152e-01, -9.2385e-01, -2.3561e-01,  4.2729e-01, -2.0343e-01, -7.7583e-01, -5.7944e-01, 4.6053e-02, -2.0549e-01,  3.3699e-01,  6.6091e-01,  4.1366e-01, -1.4543e+00,  7.7351e-01, -1.8965e-04]], device='cuda:0', requires_grad=True) tensor([ 70,  66, 223]) tensor([ 70,  66, 223]) Batch prediction time: 173.3s labels_pred_cpu SHAPE (1, 1, 70, 66, 223) labels_gt_cpu SHAPE (1, 1, 70, 66, 223)",0.269,7.998,1.5996,0.9648,0.7246,0.4298,1,Fold_1_Test_Set_healthy
['sujet12_rf_pad'],"Parameter containing: tensor([[-2.6225e-01,  2.0636e-01,  9.1634e-02,  8.8015e-01, -1.7893e+00, -1.1435e+00,  1.0338e+00, -6.7179e-01, -7.3349e-01, -1.1735e+00, 6.2102e-01, -3.8945e-01, -1.0119e+00,  5.3469e-01, -2.9904e-01, 2.2436e-01, -6.9498e-01, -1.2584e+00,  2.3912e-01,  8.3559e-01, 8.9525e-02,  5.8333e-01, -5.0835e-01, -9.5066e-01,  1.5684e-02, 3.0066e-01, -9.8613e-01,  6.9281e-02, -2.0652e-01,  3.2666e-01, 1.0053e-01,  2.8551e-01, -2.5190e-01, -7.4018e-01, -2.6859e-01, -7.9908e-01,  8.6157e-01, -3.0086e-01,  3.5743e-01, -1.1181e+00, -5.6189e-01,  4.6356e-01, -3.9207e-01, -3.7308e-01, -1.1873e-01, 1.9565e-03,  1.3031e-01, -3.4295e-01, -7.2016e-01,  2.4611e-01, 1.4487e-02,  1.2453e-01, -7.6959e-01, -5.5552e-01, -2.4230e-01, -3.5781e-01, -1.1496e+00,  2.2033e-02, -6.0578e-01, -5.5262e-01, 1.3314e+00,  1.4430e-01, -2.9150e-02,  8.1210e-01, -8.7959e-01, 1.6079e-01, -1.3935e+00, -5.2803e-01,  1.7202e-02, -6.1750e-01, 1.3396e-01, -6.6736e-01,  2.2889e+00,  2.3407e+00,  8.3414e-01, 6.7311e-01, -4.9630e-01,  4.6166e-01, -4.6750e-01,  4.9979e-01, 1.3011e+00, -7.1421e-01, -1.3950e+00, -8.3912e-01, -5.7259e-01, -7.1587e-01,  4.9834e-01, -6.0322e-02, -2.8288e-02, -8.0408e-01, -1.1408e+00,  4.4817e-01, -7.7019e-01,  5.6981e-01,  1.2333e+00, -3.4333e-01,  5.7790e-01, -5.9408e-01, -3.7171e-01,  1.1400e+00, -1.0126e-01,  3.3136e-01,  6.3659e-01,  1.0405e+00, -3.5873e-01, -1.4828e+00, -1.2355e+00, -4.6641e-01,  3.8445e-01, -1.2742e-01, 1.3408e-01,  4.1683e-02, -1.8349e-01,  7.3279e-01,  8.5177e-02, -6.4546e-01, -9.8554e-01, -8.9178e-01,  1.4712e+00, -4.8553e-01, -1.8272e-01, -3.0538e-01,  7.7289e-01, -2.4355e-01,  1.5919e-01, -2.1435e-01,  1.8756e+00,  5.6018e-01]], device='cuda:0', requires_grad=True) tensor([ 66,  73, 205]) tensor([ 66,  73, 205]) Batch prediction time: 166.0s labels_pred_cpu SHAPE (1, 1, 66, 73, 205) labels_gt_cpu SHAPE (1, 1, 66, 73, 205)",0.2893,5.9693,1.7998,0.9628,0.4666,0.2623,1,Fold_1_Test_Set_healthy
